order_id,customer_id,order_date,status,region_code
1,61,2025-12-02 00:00:00,CANCELLED,NORTH
2,0,2026-04-23 14:49:58,CANCELLED,EAST
3,36,2026-05-21 23:40:11,PLACED,NORTH
4,452,2025-09-28 00:00:00,SHIPPED,NORTH
5,267,2025-08-05 00:17:59,CANCELLED,CENTRAL
6,250,2025-02-03 02:54:48,PLACED,CENTRAL
7,439,2025-03-19 09:31:45,RETURNED,SOUTH
8,477,2025-09-14 21:55:08,DELIVERED,NORTH
9,156,2026-03-29 09:08:44,RETURNED,EAST
10,112,2026-02-13 15:59:37,CANCELLED,NORTH
11,325,2025-05-15 11:20:09,SHIPPED,EAST
12,136,2026-06-06 21:28:19,CANCELLED,WEST
13,108,2026-05-20 08:18:39,PLACED,CENTRAL
14,105,2025-11-14 23:06:02,RETURNED,WEST
15,77,2025-08-21 16:06:26,SHIPPED,NORTH
16,424,2025-02-08 15:58:27,RETURNED,SOUTH
17,105,2026-04-19 06:16:49,DELIVERED,NORTH
18,188,2024-09-23 08:59:45,PLACED,WEST
19,429,2025-09-10 12:11:48,RETURNED,CENTRAL
20,449,2025-07-31 06:30:17,SHIPPED,SOUTH
21,195,2025-10-19 20:36:52,SHIPPED,WEST
22,293,2026-01-25 02:26:05,SHIPPED,NORTH
23,33,2025-06-28 07:35:50,RETURNED,WEST
24,125,2025-09-16 00:00:00,CANCELLED,CENTRAL
25,141,2026-03-31 13:25:31,RETURNED,EAST
26,0,2025-01-31 08:27:37,RETURNED,SOUTH
27,477,2024-09-25 17:30:35,PLACED,EAST
28,239,2025-07-30 02:34:03,PLACED,NORTH
29,72,2025-04-03 01:25:34,CANCELLED,EAST
30,247,2024-10-22 06:44:45,RETURNED,NORTH
31,463,2025-11-20 04:53:22,DELIVERED,EAST
32,106,2024-08-07 21:17:52,RETURNED,CENTRAL
33,253,2024-09-01 11:15:13,CANCELLED,WEST
34,203,2026-06-14 07:18:29,CANCELLED,WEST
35,390,2025-03-21 06:25:58,RETURNED,SOUTH
36,189,2026-04-06 14:56:12,SHIPPED,SOUTH
37,220,2026-05-19 11:54:19,SHIPPED,SOUTH
38,212,2025-08-15 22:00:48,RETURNED,SOUTH
39,226,2025-06-10 04:13:41,PLACED,CENTRAL
40,0,2026-06-12 19:17:15,SHIPPED,WEST
41,446,2026-01-21 14:35:08,PLACED,NORTH
42,258,2024-09-03 21:59:44,SHIPPED,EAST
43,182,2024-07-13 13:44:53,RETURNED,CENTRAL
44,84,2024-09-28 04:01:20,DELIVERED,CENTRAL
45,288,2024-09-18 17:20:41,CANCELLED,CENTRAL
46,26,2025-07-15 12:56:12,DELIVERED,NORTH
47,345,2025-12-31 09:15:38,CANCELLED,EAST
48,53,2026-06-23 11:15:09,RETURNED,CENTRAL
49,412,2025-02-02 01:21:04,CANCELLED,SOUTH
50,197,2025-09-05 09:14:49,DELIVERED,SOUTH
51,110,2024-10-10 22:55:39,RETURNED,NORTH
52,259,2025-04-16 02:38:03,DELIVERED,CENTRAL
53,452,2026-03-15 02:27:31,RETURNED,CENTRAL
54,493,2025-01-19 10:05:54,CANCELLED,NORTH
55,473,2024-11-12 18:12:17,DELIVERED,WEST
56,210,2025-05-20 13:43:08,PLACED,EAST
57,461,2026-01-02 19:30:20,PLACED,NORTH
58,18,2026-07-04 19:52:00,SHIPPED,WEST
59,346,2025-12-30 19:41:17,SHIPPED,NORTH
60,450,2025-07-13 10:35:14,RETURNED,NORTH
61,245,2024-10-02 03:07:47,PLACED,EAST
62,82,2025-12-27 11:27:32,SHIPPED,EAST
63,496,2026-01-16 10:21:17,PLACED,EAST
64,216,2026-07-03 22:46:03,RETURNED,WEST
65,347,2025-03-13 13:55:50,CANCELLED,WEST
66,122,2025-10-18 20:03:07,SHIPPED,SOUTH
67,266,2025-08-14 04:04:12,SHIPPED,NORTH
68,353,2025-01-24 23:49:00,CANCELLED,WEST
69,200,2024-08-21 23:12:06,RETURNED,CENTRAL
70,79,2025-06-24 21:33:42,PLACED,WEST
71,440,2025-05-31 10:02:39,DELIVERED,NORTH
72,77,2024-08-09 20:06:45,RETURNED,EAST
73,273,2025-09-15 08:51:15,PLACED,WEST
74,393,2024-08-03 16:53:20,PLACED,SOUTH
75,392,2026-01-21 10:59:42,DELIVERED,NORTH
76,122,2024-10-09 04:48:29,CANCELLED,NORTH
77,409,2025-05-03 16:14:51,DELIVERED,NORTH
78,274,2026-06-30 14:49:59,PLACED,WEST
79,273,2024-07-25 09:29:51,RETURNED,EAST
80,1,2025-07-28 03:58:38,CANCELLED,NORTH
81,415,2026-05-20 22:23:33,SHIPPED,EAST
82,247,2026-02-02 17:52:30,CANCELLED,WEST
83,366,2025-09-11 18:30:34,DELIVERED,SOUTH
84,340,2025-11-11 15:55:57,PLACED,NORTH
85,478,2026-06-02 22:19:47,DELIVERED,EAST
86,113,2025-05-20 13:29:06,DELIVERED,WEST
87,301,2025-11-04 20:10:37,PLACED,EAST
88,153,2024-07-20 21:22:17,PLACED,EAST
89,0,2025-08-03 22:06:16,PLACED,NORTH
90,334,2025-10-29 12:07:03,DELIVERED,NORTH
91,0,2025-10-09 00:27:15,PLACED,SOUTH
92,204,2026-05-19 08:12:47,SHIPPED,EAST
93,400,2025-01-29 00:14:19,DELIVERED,SOUTH
94,272,2025-02-22 01:09:52,SHIPPED,SOUTH
95,200,2025-10-01 20:37:11,DELIVERED,EAST
96,466,2025-02-08 15:44:18,PLACED,WEST
97,0,2025-11-26 10:36:33,DELIVERED,WEST
98,50,2025-05-15 18:18:54,PLACED,EAST
99,77,2025-02-25 09:36:35,RETURNED,NORTH
100,0,2026-06-12 06:23:46,RETURNED,NORTH
101,300,2026-02-27 03:39:57,PLACED,SOUTH
102,264,2026-05-23 23:40:11,CANCELLED,NORTH
103,418,2025-05-24 03:16:30,DELIVERED,WEST
104,107,2026-06-04 00:00:00,CANCELLED,EAST
105,309,2025-08-30 12:40:13,SHIPPED,SOUTH
106,149,2025-09-05 11:41:50,RETURNED,WEST
107,454,2025-08-13 21:09:54,DELIVERED,CENTRAL
108,500,2025-05-28 02:18:11,RETURNED,CENTRAL
109,33,2026-04-24 23:53:24,PLACED,SOUTH
110,41,2024-08-10 13:30:16,RETURNED,SOUTH
111,202,2024-10-08 06:50:21,CANCELLED,NORTH
112,462,2025-11-28 07:49:55,RETURNED,CENTRAL
113,417,2025-02-12 23:53:25,SHIPPED,CENTRAL
114,67,2025-09-23 11:21:51,RETURNED,CENTRAL
115,0,2025-12-20 00:36:04,SHIPPED,SOUTH
116,106,2024-09-06 21:22:46,RETURNED,NORTH
117,312,2026-05-24 15:14:29,CANCELLED,SOUTH
118,148,2025-10-18 01:55:10,SHIPPED,NORTH
119,111,2026-04-01 22:20:25,RETURNED,NORTH
120,293,2026-02-24 16:53:23,RETURNED,WEST
121,261,2024-08-03 09:37:27,PLACED,EAST
122,231,2025-11-09 00:29:16,PLACED,SOUTH
123,419,2026-01-07 03:11:06,CANCELLED,CENTRAL
124,230,2025-01-08 08:14:13,RETURNED,NORTH
125,373,2025-02-16 22:13:28,PLACED,CENTRAL
126,363,2024-12-05 09:52:59,PLACED,SOUTH
127,454,2025-01-06 14:40:23,CANCELLED,WEST
128,440,2025-05-18 19:40:56,CANCELLED,WEST
129,306,2025-12-14 12:42:12,SHIPPED,SOUTH
130,283,2024-12-09 22:12:51,SHIPPED,WEST
131,45,2024-07-18 08:37:13,PLACED,NORTH
132,460,2024-10-27 00:23:54,DELIVERED,WEST
133,30,2025-12-15 12:59:09,PLACED,EAST
134,247,2026-06-15 00:00:00,DELIVERED,EAST
135,461,2024-10-26 07:28:12,SHIPPED,SOUTH
136,328,2025-02-02 00:41:00,PLACED,SOUTH
137,97,2024-09-16 00:00:00,RETURNED,SOUTH
138,361,2025-08-24 05:25:15,SHIPPED,SOUTH
139,0,2024-07-21 21:09:06,SHIPPED,SOUTH
140,298,2025-05-11 05:59:50,SHIPPED,WEST
141,403,2025-04-21 21:32:39,RETURNED,SOUTH
142,134,2024-08-30 08:00:28,RETURNED,SOUTH
143,386,2026-05-30 13:22:30,CANCELLED,CENTRAL
144,0,2026-07-08 09:14:36,SHIPPED,EAST
145,199,2025-11-02 14:52:15,PLACED,WEST
146,370,2024-10-16 07:42:19,PLACED,EAST
147,27,2025-05-08 07:57:24,DELIVERED,CENTRAL
148,134,2026-06-21 19:18:40,SHIPPED,CENTRAL
149,187,2025-10-08 06:05:36,SHIPPED,EAST
150,152,2024-09-07 17:23:19,DELIVERED,WEST
151,58,2025-12-18 18:06:05,CANCELLED,WEST
152,356,2025-09-25 06:42:32,CANCELLED,NORTH
